question,input_length,rouge_l,latency_ms,token_count
Can I book an inpatient clinical appointment online?,16,0.1693,929.0,353
How long does it take to process outpatient laboratory results?,12,0.3766,1180.0,252
My infant has a sudden rash and high fever - what are my triage options?,10,0.3935,833.0,218
Has the new MoH policy changed our clinical referral rules?,17,0.332,1054.0,303
Has the new MoH policy changed our clinical referral rules?,11,0.5004,1076.0,257
Can I book an inpatient clinical appointment online?,15,0.2713,1169.0,368
Can I book an inpatient clinical appointment online?,10,0.3557,901.0,209
What documents do I need for a standard clinical lab screening?,11,0.3879,1084.0,294
My infant has a sudden rash and high fever - what are my triage options?,15,0.4059,913.0,353
My infant has a sudden rash and high fever - what are my triage options?,15,0.4583,1199.0,353
What documents do I need for a standard clinical lab screening?,10,0.526,1139.0,304
Has the new MoH policy changed our clinical referral rules?,17,0.3548,946.0,256
Can I book an inpatient clinical appointment online?,11,0.4681,1009.0,215
My infant has a sudden rash and high fever - what are my triage options?,11,0.4345,1085.0,267
Has the new MoH policy changed our clinical referral rules?,11,0.351,831.0,345
What documents do I need for a standard clinical lab screening?,15,0.3866,967.0,280
Has the new MoH policy changed our clinical referral rules?,13,0.1631,780.0,283
Can I book an inpatient clinical appointment online?,18,0.3952,757.0,264
How long does it take to process outpatient laboratory results?,12,0.3599,1026.0,300
Has the new MoH policy changed our clinical referral rules?,10,0.3485,885.0,274
My infant has a sudden rash and high fever - what are my triage options?,10,0.4057,963.0,330
My infant has a sudden rash and high fever - what are my triage options?,18,0.362,1348.0,266
My infant has a sudden rash and high fever - what are my triage options?,15,0.495,1037.0,336
My infant has a sudden rash and high fever - what are my triage options?,18,0.3102,1054.0,373
My infant has a sudden rash and high fever - what are my triage options?,17,0.3728,774.0,278
Can I book an inpatient clinical appointment online?,14,0.2463,998.0,223
How long does it take to process outpatient laboratory results?,11,0.3691,618.0,225
Has the new MoH policy changed our clinical referral rules?,16,0.5167,747.0,234
Has the new MoH policy changed our clinical referral rules?,11,0.4894,1052.0,245
Can I book an inpatient clinical appointment online?,11,0.3931,1104.0,357
Has the new MoH policy changed our clinical referral rules?,11,0.4315,760.0,341
What documents do I need for a standard clinical lab screening?,13,0.3269,976.0,234
My infant has a sudden rash and high fever - what are my triage options?,14,0.295,923.0,264
Can I book an inpatient clinical appointment online?,12,0.2895,1094.0,337
How long does it take to process outpatient laboratory results?,14,0.3304,880.0,248
How long does it take to process outpatient laboratory results?,11,0.3552,1060.0,215
My infant has a sudden rash and high fever - what are my triage options?,12,0.367,1300.0,216
How long does it take to process outpatient laboratory results?,13,0.4084,1123.0,206
Has the new MoH policy changed our clinical referral rules?,13,0.2522,1014.0,191
Has the new MoH policy changed our clinical referral rules?,13,0.3479,670.0,280
My infant has a sudden rash and high fever - what are my triage options?,18,0.1775,943.0,347
Has the new MoH policy changed our clinical referral rules?,14,0.4455,1172.0,339
My infant has a sudden rash and high fever - what are my triage options?,10,0.2206,1079.0,278
Can I book an inpatient clinical appointment online?,14,0.4387,794.0,294
Has the new MoH policy changed our clinical referral rules?,10,0.3028,1100.0,193
Has the new MoH policy changed our clinical referral rules?,16,0.4761,938.0,379
What documents do I need for a standard clinical lab screening?,12,0.3866,963.0,345
My infant has a sudden rash and high fever - what are my triage options?,15,0.2453,851.0,368
My infant has a sudden rash and high fever - what are my triage options?,12,0.3977,729.0,330
What documents do I need for a standard clinical lab screening?,15,0.3444,760.0,370
What documents do I need for a standard clinical lab screening?,16,0.319,1103.0,225
Has the new MoH policy changed our clinical referral rules?,18,0.3426,1002.0,233
How long does it take to process outpatient laboratory results?,16,0.2897,830.0,373
How long does it take to process outpatient laboratory results?,13,0.3813,1097.0,373
Has the new MoH policy changed our clinical referral rules?,13,0.3718,945.0,302
My infant has a sudden rash and high fever - what are my triage options?,15,0.2682,778.0,256
My infant has a sudden rash and high fever - what are my triage options?,10,0.442,626.0,357
What documents do I need for a standard clinical lab screening?,11,0.3593,1068.0,221
My infant has a sudden rash and high fever - what are my triage options?,10,0.3616,721.0,211
How long does it take to process outpatient laboratory results?,12,0.3011,907.0,217
Can I book an inpatient clinical appointment online?,14,0.2713,952.0,328
My infant has a sudden rash and high fever - what are my triage options?,11,0.4017,1031.0,377
How long does it take to process outpatient laboratory results?,18,0.4804,809.0,197
My infant has a sudden rash and high fever - what are my triage options?,18,0.4585,753.0,199
What documents do I need for a standard clinical lab screening?,11,0.4651,1061.0,218
My infant has a sudden rash and high fever - what are my triage options?,11,0.3431,1026.0,362
My infant has a sudden rash and high fever - what are my triage options?,12,0.367,993.0,184
Has the new MoH policy changed our clinical referral rules?,14,0.574,696.0,260
My infant has a sudden rash and high fever - what are my triage options?,13,0.3168,1072.0,338
My infant has a sudden rash and high fever - what are my triage options?,13,0.4523,1011.0,337
My infant has a sudden rash and high fever - what are my triage options?,17,0.2059,1234.0,285
What documents do I need for a standard clinical lab screening?,17,0.2846,847.0,354
Can I book an inpatient clinical appointment online?,16,0.3688,1025.0,211
Has the new MoH policy changed our clinical referral rules?,10,0.4382,981.0,326
What documents do I need for a standard clinical lab screening?,14,0.267,1060.0,212
My infant has a sudden rash and high fever - what are my triage options?,15,0.4154,741.0,237
How long does it take to process outpatient laboratory results?,14,0.3617,1167.0,352
How long does it take to process outpatient laboratory results?,17,0.3345,1184.0,338
My infant has a sudden rash and high fever - what are my triage options?,16,0.343,942.0,340
What documents do I need for a standard clinical lab screening?,13,0.2468,1100.0,339
Has the new MoH policy changed our clinical referral rules?,18,0.5371,804.0,251
My infant has a sudden rash and high fever - what are my triage options?,15,0.4534,869.0,275
Can I book an inpatient clinical appointment online?,13,0.3701,1025.0,283
My infant has a sudden rash and high fever - what are my triage options?,15,0.2581,1002.0,256
My infant has a sudden rash and high fever - what are my triage options?,12,0.3541,722.0,227
My infant has a sudden rash and high fever - what are my triage options?,12,0.3192,935.0,312
Can I book an inpatient clinical appointment online?,11,0.2982,894.0,301
Can I book an inpatient clinical appointment online?,14,0.4148,894.0,191
My infant has a sudden rash and high fever - what are my triage options?,10,0.3601,1120.0,354
What documents do I need for a standard clinical lab screening?,13,0.3591,759.0,330
How long does it take to process outpatient laboratory results?,16,0.3825,780.0,290
Can I book an inpatient clinical appointment online?,13,0.5362,702.0,336
Can I book an inpatient clinical appointment online?,10,0.291,901.0,201
My infant has a sudden rash and high fever - what are my triage options?,13,0.3866,1284.0,329
What documents do I need for a standard clinical lab screening?,14,0.3882,1144.0,183
Has the new MoH policy changed our clinical referral rules?,17,0.2107,1083.0,343
What documents do I need for a standard clinical lab screening?,11,0.2991,1000.0,316
Has the new MoH policy changed our clinical referral rules?,17,0.4124,766.0,246
What documents do I need for a standard clinical lab screening?,10,0.2722,874.0,192
Has the new MoH policy changed our clinical referral rules?,10,0.3768,830.0,194
My infant has a sudden rash and high fever - what are my triage options?,15,0.3751,986.0,262
Has the new MoH policy changed our clinical referral rules?,12,0.355,749.0,308
Can I book an inpatient clinical appointment online?,14,0.434,761.0,193
What documents do I need for a standard clinical lab screening?,13,0.3778,918.0,340
My infant has a sudden rash and high fever - what are my triage options?,12,0.4055,770.0,371
My infant has a sudden rash and high fever - what are my triage options?,15,0.3296,1030.0,352
How long does it take to process outpatient laboratory results?,12,0.4325,856.0,310
Has the new MoH policy changed our clinical referral rules?,11,0.3304,1156.0,239
How long does it take to process outpatient laboratory results?,14,0.4897,1343.0,211
My infant has a sudden rash and high fever - what are my triage options?,18,0.2877,856.0,207
Can I book an inpatient clinical appointment online?,16,0.296,812.0,190
Can I book an inpatient clinical appointment online?,13,0.4289,833.0,197
Has the new MoH policy changed our clinical referral rules?,16,0.3384,992.0,373
Can I book an inpatient clinical appointment online?,14,0.4484,1028.0,280
Has the new MoH policy changed our clinical referral rules?,14,0.3847,801.0,380
My infant has a sudden rash and high fever - what are my triage options?,11,0.3767,590.0,194
Can I book an inpatient clinical appointment online?,18,0.4181,1174.0,374
Has the new MoH policy changed our clinical referral rules?,14,0.3911,1142.0,270
What documents do I need for a standard clinical lab screening?,10,0.3694,1024.0,253
My infant has a sudden rash and high fever - what are my triage options?,14,0.3472,928.0,327
Has the new MoH policy changed our clinical referral rules?,11,0.3306,909.0,260
My infant has a sudden rash and high fever - what are my triage options?,11,0.3487,914.0,245
How long does it take to process outpatient laboratory results?,16,0.2355,1056.0,369
Can I book an inpatient clinical appointment online?,11,0.4373,668.0,331
Has the new MoH policy changed our clinical referral rules?,12,0.3892,979.0,317
How long does it take to process outpatient laboratory results?,15,0.4165,1129.0,297
What documents do I need for a standard clinical lab screening?,14,0.3517,643.0,260
Has the new MoH policy changed our clinical referral rules?,12,0.4151,839.0,220
How long does it take to process outpatient laboratory results?,12,0.4302,1229.0,270
Has the new MoH policy changed our clinical referral rules?,18,0.4223,989.0,362
What documents do I need for a standard clinical lab screening?,12,0.399,1073.0,215
Can I book an inpatient clinical appointment online?,15,0.3519,1217.0,307
Has the new MoH policy changed our clinical referral rules?,13,0.3289,982.0,266
What documents do I need for a standard clinical lab screening?,14,0.2783,654.0,350
What documents do I need for a standard clinical lab screening?,16,0.2917,918.0,376
How long does it take to process outpatient laboratory results?,11,0.3862,932.0,215
My infant has a sudden rash and high fever - what are my triage options?,10,0.4033,869.0,341
What documents do I need for a standard clinical lab screening?,10,0.3975,756.0,350
How long does it take to process outpatient laboratory results?,14,0.2941,1206.0,270
Has the new MoH policy changed our clinical referral rules?,15,0.381,947.0,359
Can I book an inpatient clinical appointment online?,18,0.344,1018.0,360
How long does it take to process outpatient laboratory results?,17,0.3269,789.0,312
Has the new MoH policy changed our clinical referral rules?,18,0.242,1097.0,365
Can I book an inpatient clinical appointment online?,16,0.2562,1096.0,252
What documents do I need for a standard clinical lab screening?,13,0.338,996.0,245
Can I book an inpatient clinical appointment online?,14,0.2956,1012.0,309
Can I book an inpatient clinical appointment online?,17,0.408,1144.0,353
Can I book an inpatient clinical appointment online?,15,0.2191,937.0,301
Has the new MoH policy changed our clinical referral rules?,12,0.2614,1052.0,196
What documents do I need for a standard clinical lab screening?,11,0.3312,1151.0,345
My infant has a sudden rash and high fever - what are my triage options?,18,0.3609,1079.0,284
Has the new MoH policy changed our clinical referral rules?,14,0.3803,905.0,182
What documents do I need for a standard clinical lab screening?,18,0.3154,1062.0,338
What documents do I need for a standard clinical lab screening?,10,0.4533,492.0,350
Can I book an inpatient clinical appointment online?,13,0.4418,929.0,313
My infant has a sudden rash and high fever - what are my triage options?,16,0.4419,673.0,195
Can I book an inpatient clinical appointment online?,14,0.3661,789.0,366
Has the new MoH policy changed our clinical referral rules?,11,0.4306,1097.0,327
How long does it take to process outpatient laboratory results?,11,0.3417,842.0,284
My infant has a sudden rash and high fever - what are my triage options?,10,0.4823,975.0,223
What documents do I need for a standard clinical lab screening?,17,0.3226,852.0,275
Has the new MoH policy changed our clinical referral rules?,11,0.284,631.0,231
Can I book an inpatient clinical appointment online?,11,0.2438,860.0,352
How long does it take to process outpatient laboratory results?,12,0.5101,989.0,194
What documents do I need for a standard clinical lab screening?,12,0.2457,875.0,326
Can I book an inpatient clinical appointment online?,12,0.4336,788.0,349
How long does it take to process outpatient laboratory results?,15,0.329,1006.0,318
Can I book an inpatient clinical appointment online?,12,0.3535,862.0,208
What documents do I need for a standard clinical lab screening?,10,0.3867,966.0,222
Can I book an inpatient clinical appointment online?,16,0.3535,931.0,263
Can I book an inpatient clinical appointment online?,10,0.4888,766.0,246
My infant has a sudden rash and high fever - what are my triage options?,16,0.3852,1232.0,201
How long does it take to process outpatient laboratory results?,14,0.3819,890.0,181
How long does it take to process outpatient laboratory results?,17,0.315,934.0,286
My infant has a sudden rash and high fever - what are my triage options?,14,0.3163,851.0,328
What documents do I need for a standard clinical lab screening?,10,0.4082,1017.0,337
Has the new MoH policy changed our clinical referral rules?,15,0.3762,1043.0,334
My infant has a sudden rash and high fever - what are my triage options?,14,0.3328,1334.0,307
My infant has a sudden rash and high fever - what are my triage options?,10,0.3234,1049.0,287
What documents do I need for a standard clinical lab screening?,17,0.4486,965.0,247
What documents do I need for a standard clinical lab screening?,14,0.4532,1080.0,180
Can I book an inpatient clinical appointment online?,11,0.4161,978.0,376
My infant has a sudden rash and high fever - what are my triage options?,18,0.3812,976.0,189
What documents do I need for a standard clinical lab screening?,14,0.4034,982.0,265
Has the new MoH policy changed our clinical referral rules?,18,0.3791,969.0,325
Has the new MoH policy changed our clinical referral rules?,11,0.4096,564.0,270
Has the new MoH policy changed our clinical referral rules?,13,0.3365,1189.0,225
What documents do I need for a standard clinical lab screening?,16,0.3422,998.0,240
Can I book an inpatient clinical appointment online?,11,0.3376,1139.0,281
My infant has a sudden rash and high fever - what are my triage options?,13,0.4346,1086.0,232
How long does it take to process outpatient laboratory results?,16,0.3166,759.0,200
Has the new MoH policy changed our clinical referral rules?,10,0.4049,996.0,294
Can I book an inpatient clinical appointment online?,13,0.4237,784.0,291
What documents do I need for a standard clinical lab screening?,18,0.3957,1073.0,227
Has the new MoH policy changed our clinical referral rules?,18,0.2433,884.0,263
My infant has a sudden rash and high fever - what are my triage options?,16,0.4906,1024.0,379
What documents do I need for a standard clinical lab screening?,14,0.3484,952.0,270
My infant has a sudden rash and high fever - what are my triage options?,13,0.4071,949.0,182
How long does it take to process outpatient laboratory results?,10,0.2715,664.0,247
How long does it take to process outpatient laboratory results?,17,0.3298,774.0,186
